Repository,Last Commit Date,Days Since Last Commit,Status
stravu/crystal,2026-02-26 21:44:09,78,OK
mutableai/monitors4codegen,NOT_FOUND,N/A,Repository not found
DeepMyst/Mysti,2026-03-11 19:31:18,65,OK
onllm-dev/onUI,2026-04-28 14:55:44,17,OK
cafeTechne/antigravity-link-extension,2026-05-04 20:49:15,11,OK
Pythagora-io/gpt-pilot,2025-11-10 13:12:31,186,OK
AntonOsika/gpt-engineer,2024-11-17 22:42:12,544,OK
smol-ai/developer,2023-09-25 17:58:00,963,OK
kill136/axon,NOT_FOUND,N/A,Repository not found
arctic-cli/interface,2026-03-15 18:29:47,61,OK
JuliusBrussee/blueprint,NO_COMMITS,N/A,No commits found
manaflow-ai/cmux,2026-05-16 02:53:26,0,OK
modern-tooling/aloc,2026-02-12 20:59:44,92,OK
belingud/gptcomet,2026-04-24 12:00:56,21,OK
BrodaNoel/cmd-ai,2026-03-04 00:49:26,73,OK
baz-scm/baz-cli,2026-04-16 06:58:00,29,OK
arimxyer/models,NO_COMMITS,N/A,No commits found
Shashwat-Gupta57/Jctx,2026-04-22 11:40:36,23,OK
fengshao1227/ccg-workflow,NOT_FOUND,N/A,Repository not found
yjcho9317/aiignore-cli,2026-04-03 02:31:39,43,OK
lasantosr/intelli-shell,2026-03-26 08:19:36,50,OK
iwe-org/iwe,2026-05-15 11:28:34,0,OK
inevolin/resume-cli,2026-04-10 23:39:38,35,OK
Houseofmvps/codesight,2026-05-11 19:54:47,4,OK
Lucas2944/prpack,2026-05-12 20:18:07,3,OK
oxgeneral/ORCH,2026-04-17 14:36:47,28,OK
muvon/octomind,2026-05-15 19:54:29,0,OK
stackblitz-labs/bolt.diy,2026-02-07 14:36:22,97,OK
kurtnebiev-elvis4/ai-vertical-saas-gen,NOT_FOUND,N/A,Repository not found
melih-unsal/DemoGPT,2026-04-01 12:30:09,44,OK
maroondlabs/sourcebook,2026-04-16 15:19:10,29,OK
ashfordeOU/grasp,2026-05-15 08:55:26,0,OK
reflex-search/reflex,2026-05-16 02:07:06,0,OK
LeonardoCardoso/Poirot,NO_COMMITS,N/A,No commits found
btangonan/anima,2026-04-29 04:45:01,16,OK
agentfm-ai/agent-fm,2026-05-13 02:40:09,3,OK
Moresl/cchub,NOT_FOUND,N/A,Repository not found
Charlie85270/Dorothy,2026-05-05 16:43:11,10,OK
johannesjo/parallel-code,2026-05-15 16:49:56,0,OK
im4codes/imcodes,2026-05-14 08:30:08,1,OK
larryxiao/openquack,2026-05-14 15:02:15,1,OK
qodo-ai/pr-agent,NO_COMMITS,N/A,No commits found
Nayjest/Gito,2026-05-15 19:16:44,0,OK
tarmojussila/zai-code-review,2026-04-16 15:12:26,29,OK
tarmojussila/minimax-code-review,2026-04-16 16:27:40,29,OK
indoor47/claude-pr-reviewer,2026-02-25 23:55:05,79,OK
Lucas2944/prpack-action,2026-05-12 20:18:05,3,OK
codeintegrity-ai/mutahunter,2025-04-17 15:46:00,393,OK
AnswerLayer/sniffbench,2026-03-17 21:39:33,59,OK
marcus/sidecar,2026-04-18 21:26:34,27,OK
pacificstudio/openase,2026-05-15 06:07:33,0,OK
mindfold-ai/Trellis,2026-05-15 08:38:44,0,OK
0xranx/golembot,2026-05-09 03:41:44,6,OK
shep-ai/cli,NO_COMMITS,N/A,No commits found
chernistry/bernstein,NO_COMMITS,N/A,No commits found
avelikiy/great_cto,2026-05-15 16:58:34,0,OK
kagan-sh/kagan,2026-05-12 16:04:51,3,OK
LucasDuys/forge,2026-05-02 15:14:15,13,OK
swarmclawai/swarmclaw,2026-05-15 11:12:05,0,OK
cueapi/cueapi-core,2026-05-12 03:18:07,4,OK
samfoy/pi-ralph,2026-05-14 15:01:57,1,OK
stacklok/brood-box,2026-05-14 08:15:41,1,OK
Th0rgal/openagent,NO_COMMITS,N/A,No commits found
metalbear-co/mirrord,2026-05-15 18:36:10,0,OK
metalbear-co/skills,2026-05-12 20:01:13,3,OK
agenttier/agenttier,2026-05-15 04:07:50,0,OK
nedcodes-ok/cursor-doctor,2026-03-08 17:54:10,68,OK
YawLabs/ctxlint,2026-05-16 03:10:18,0,OK
juyterman1000/entroly,2026-05-16 02:34:27,0,OK
rely-ai-org/caliber,NO_COMMITS,N/A,No commits found
adhenawer/claude-snapshot,2026-04-19 15:03:13,26,OK
mzmmoazam/claude-overlay,2026-05-14 03:50:49,1,OK
nicepkg/vsync,2026-01-27 03:27:41,109,OK
nedcodes-ok/rule-porter,2026-03-04 18:25:17,72,OK
GeiserX/LynxPrompt,2026-05-14 10:40:24,1,OK
conduit8/conduit8,NOT_FOUND,N/A,Repository not found
henu-wang/tokrepo,2026-05-14 13:47:10,1,OK
Wolfe-Jam/faf-cli,2026-05-15 16:20:47,0,OK
1broseidon/promptext,2026-04-12 20:05:01,33,OK
sagarmk/beacon-plugin,2026-03-06 04:13:12,70,OK
nedcodes-ok/rule-gen,2026-03-06 02:08:55,71,OK
samfoy/pi-steering-hooks,2026-05-14 15:01:59,1,OK
dwgoldie/gestalt,2026-03-28 01:48:45,49,OK
spartan-stratos/spartan-ai-toolkit,NO_COMMITS,N/A,No commits found
nex-crm/nex-as-a-skill,2026-05-13 23:24:05,2,OK
koriyoshi2041/agentify,NO_COMMITS,N/A,No commits found
fastxyz/skill-optimizer,2026-05-02 06:19:09,13,OK
kubestellar/console,2026-05-16 03:37:41,0,OK
sisyphusse1-ops/claude-code-pro-pack,2026-05-10 23:22:47,5,OK
sisyphusse1-ops/cc-audit,2026-05-10 23:22:46,5,OK
Fr-e-d/GAAI-framework,2026-05-15 12:32:11,0,OK
junhoyeo/tokscale,2026-05-10 09:13:23,5,OK
melagiri/code-insights,2026-05-15 09:32:22,0,OK
luoyuctl/agenttrace,2026-05-12 09:53:15,3,OK
onllm-dev/onwatch,2026-05-02 20:55:27,13,OK
Astro-Han/claude-lens,NO_COMMITS,N/A,No commits found
O0000-code/cc-tempo,2026-05-07 11:30:09,8,OK
lunacompsia-oss/ai-coding-tools-pricing,NOT_FOUND,N/A,Repository not found
jeongwookie/WhereMyTokens,2026-05-14 10:08:56,1,OK
dwylq/aicost,NOT_FOUND,N/A,Repository not found
CodeShuX/tokenwise,2026-05-11 16:07:34,4,OK
HexmosTech/git-lrc,2026-05-11 16:25:57,4,OK
pmusolino/AI-Git-Narrator,2026-01-18 17:47:53,117,OK
eli64s/readme-ai,2025-07-26 01:55:46,294,OK
johnxie/awesome-code-docs,2026-05-11 10:29:27,4,OK
survivorforge/cursor-rules,2026-04-16 19:29:06,29,OK
dohko04/awesome-ai-prompts-for-devs,2026-03-25 18:05:51,51,OK
jnMetaCode/ai-coding-guide,2026-05-14 16:09:22,1,OK
nowork-studio/awesome-ai-startups,2026-05-15 18:12:27,0,OK
jamesmurdza/awesome-ai-devtools,2026-05-16 03:03:27,0,OK
